"n","error_probability","fit_1_over_sqrt_n","fit_1_over_n","odd_num_prob_loss"
4,0.08801823650100027,0.10416666666666667,0.3472222222222222,0.1105
6,0.07462983973637283,0.08505172717997148,0.23148148148148145,0.0946
8,0.06466673460503379,0.0736569563735987,0.1736111111111111,0.0848
12,0.05186742953810027,0.06014065304058603,0.11574074074074073,0.07297
16,0.043717,0.052083333333333336,0.08680555555555555,0.0659
20,0.03796,0.04658474953124562,0.06944444444444445,0.0612
24,0.03363,0.04252586358998574,0.057870370370370364,0.0578
28,0.0302,0.0393712992717945,0.0496031746031746,0.05523
32,0.027499,0.03682847818679935,0.043402777777777776,0.0531
40,0.023318,0.03294039229342062,0.034722222222222224,0.0501
48,0.020266,0.030070326520293015,0.028935185185185182,0.048
56,0.01793,0.027839712699210876,0.0248015873015873,0.04639
68,0.015299,0.025264127607951353,0.02042483660130719,0.0446
80,0.013345,0.02329237476562281,0.017361111111111112,0.0433
92,0.011836,0.021720251464278622,0.015096618357487922,0.0423
100,0.011,0.020833333333333336,0.013888888888888888,0.04179
110,0.010122,0.01986380394261651,0.012626262626262626,0.0412
130,0.00872,0.018272042068896446,0.010683760683760684,0.0403
170,0.0068297,0.01597843726765355,0.008169934640522875,0.03912
210,0.005613,0.01437636581963238,0.006613756613756614,0.0383
270,0.00443,0.012678762905212177,0.0051440329218107,0.0376
360,0.003366,0.01098013076447354,0.003858024691358025,0.03695
500,0.00245,0.009316949906249124,0.002777777777777778,0.03638
